,bytes,time
0,200056,15.074
1,368056,638.433
2,24056,3.212
3,192056,13.618
4,360056,24.529
5,16056,2.682
6,184056,13.215
7,352056,137.366
8,8056,1.725
9,176056,12.809
10,344056,23.792
11,56,12.494
12,336056,34.148
13,160056,11.546
14,328056,178.339
15,152056,11.855
16,320056,21.901
17,144056,729.784
18,312056,57.352
19,136056,10.031
20,304056,23.793
21,128056,9.681
22,112056,130.087
23,296056,73.823
24,120056,9.477
25,288056,19.713
26,280056,117.05
27,104056,7.498
28,272056,18.745
29,96056,6.953
30,168056,71.001
31,88056,6.224
32,256056,192.735
33,80056,5.825
34,248056,17.297
35,240056,52.671
36,64056,5.068
37,232056,57.114
38,56056,5.112
39,224056,16.033
40,392056,42.204
41,48056,6.268
42,216056,59.576
43,384056,26.019
44,72056,44.182
45,40056,12.692
46,208056,14.542
47,264056,18.967
48,376056,25.632
49,32056,4.501
