,bytes,time
0,24056,3.494
1,192056,8.716
2,66056,4.005
3,360056,15.335
4,350056,14.154154154154154
5,234056,9.641
6,84056,4.647
7,218056,9.513
8,302056,12.425
9,386056,17.344
10,108056,5.413173652694611
11,244056,10.492492492492492
12,328056,14.983
13,150056,6.663
14,186056,21.512974051896208
15,270056,15.53946053946054
16,354056,16.10821643286573
17,2056,14.265381083562902
18,44056,4.36036036036036
19,56,67.83863885839736
20,296056,12.35
21,380056,16.998997995991985
22,238056,10.136863136863138
23,322056,13.797797797797799
24,42056,4.517
25,96056,6.501
26,180056,8.365902293120637
27,16056,3.609
28,348056,16.761
29,148056,7.148
30,38056,4.358
31,122056,5.538
32,206056,10.196392785571142
33,290056,14.243
34,374056,13.384
35,64056,4.345654345654346
36,126056,6.152152152152152
37,232056,8.884
38,316056,13.348651348651348
39,250056,13.652304609218437
40,62056,4.122122122122122
41,6056,8.617764471057884
42,90056,5.27
43,174056,7.5275275275275275
44,258056,11.402597402597403
45,342056,14.017982017982018
46,168056,7.949
47,94056,5.729
48,32056,3.3
49,116056,6.474
50,200056,8.53
51,284056,14.862137862137862
52,368056,15.155
53,340056,15.162162162162161
54,18056,4.112
55,226056,10.585585585585585
56,310056,14.984031936127744
57,394056,16.389
58,12056,5.612
59,264056,14.630585898709036
60,60056,4.553
61,252056,10.01497005988024
62,336056,14.577422577422578
63,194056,15.179
64,278056,13.985
65,102056,5.904
66,362056,15.488
67,246056,9.984015984015985
68,26056,3.781
69,220056,10.584
70,304056,11.186186186186186
71,388056,17.445
72,80056,5.429
73,162056,8.743
74,170056,7.77
75,330056,12.767
76,58056,4.267732267732268
77,188056,8.02
78,272056,12.408
79,356056,12.963073852295409
80,104056,5.097
81,46056,5.817182817182817
82,130056,5.994
83,214056,9.394
84,100056,5.359
85,382056,17.33565737051793
86,72056,4.812812812812813
87,240056,10.993
88,324056,13.1008991008991
89,142056,15.71
90,14056,3.386
91,98056,4.723
92,182056,7.996
93,266056,9.98
94,22056,6.249
95,120056,5.95004995004995
96,40056,3.958
97,124056,7.284
98,208056,8.136726546906187
99,292056,14.999
100,376056,14.366098294884655
101,34056,3.7905811623246493
102,318056,15.195804195804195
103,164056,7.787
104,92056,5.143
105,176056,8.801198801198801
106,260056,13.072
107,344056,13.972
108,76056,5.046
109,202056,9.681
110,286056,16.33033033033033
111,370056,18.462
112,352056,13.783216783216783
113,118056,6.32932932932933
114,144056,6.584
115,228056,10.567432567432567
116,312056,14.583
117,396056,17.062186559679038
118,146056,7.146
119,392056,16.419
120,276056,11.97997997997998
121,86056,4.989
122,160056,7.185
123,254056,11.379
124,338056,13.043
125,196056,13.526
126,280056,10.216783216783217
127,364056,15.58
128,74056,4.778
129,54056,4.291708291708292
130,128056,14.592407592407593
131,306056,12.487512487512488
132,390056,17.832
133,52056,4.2842842842842845
134,298056,12.106
135,8056,4.44944944944945
136,332056,14.501
137,158056,6.369
138,190056,7.952
139,274056,13.228
140,358056,13.228
141,222056,9.191
142,106056,5.554216867469879
143,78056,4.637362637362638
144,48056,4.362
145,132056,6.723
146,216056,9.957
147,300056,16.669
148,384056,15.151
149,136056,6.067
150,242056,12.401
151,326056,12.56
152,50056,3.73
153,184056,9.29559118236473
154,268056,10.797797797797799
155,212056,9.109
156,28056,4.889
157,156056,7.383616383616384
158,210056,8.649
159,294056,12.824
160,378056,15.476523476523477
161,236056,10.288288288288289
162,320056,14.792
163,134056,7.594
164,10056,6.483516483516484
165,138056,6.695
166,178056,14.9037111334002
167,262056,11.093655589123868
168,346056,12.853
169,112056,12.341708542713567
170,36056,4.642714570858283
171,204056,14.504
172,288056,12.035964035964035
173,372056,14.594
174,248056,10.074
175,154056,18.98001998001998
176,230056,10.321
177,314056,12.798597194388778
178,398056,16.63010967098704
179,56056,5.123123123123123
180,4056,6.787575150300601
181,88056,5.035
182,172056,8.876
183,256056,9.08008008008008
184,68056,4.357
185,30056,3.836
186,114056,5.935323383084577
187,198056,8.824
188,282056,12.524524524524525
189,366056,14.103
190,110056,7.073852295409182
191,140056,7.489
192,224056,10.9
193,308056,15.53807615230461
194,70056,5.668
195,152056,7.361723446893787
196,82056,4.883
197,166056,8.36
198,20056,3.82
199,334056,14.035035035035035
